Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1698268,"The Winning Element (The Specialists, #3)",Shannon Greenland,"Greenland, Shannon",,"=""0142410527""","=""9780142410523""",5,4.03,Speak,Paperback,231,2008,2008,2008/04/01,2020/05/08,,,read,,,,1,0
641550,"Down to the Wire (The Specialists, #2)",Shannon Greenland,"Greenland, Shannon",,"=""0142409170""","=""9780142409176""",5,4.06,Speak,Paperback,224,2007,2007,2007/09/01,2020/05/08,,,read,,,,1,0
641549,"Model Spy (The Specialists, #1)",Shannon Greenland,"Greenland, Shannon",,"=""0142408492""","=""9780142408490""",5,3.85,Speak,Paperback,205,2007,2007,2007/09/01,2020/05/08,,,read,,,,1,0
7163935,"Faithful (Faithful, #1)",Janet Fox,"Fox, Janet",,"=""0142414131""","=""9780142414132""",3,3.56,Speak,Paperback,325,2010,2010,,2020/12/15,,,read,,,,1,0
4374400,"If I Stay (If I Stay, #1)",Gayle Forman,"Forman, Gayle",,"=""0525421033""","=""9780525421030""",4,3.91,Viking,Hardcover,208,2009,2009,,2020/12/15,,,read,,,,1,0
13580928,"Perfect Scoundrels (Heist Society, #3)",Ally Carter,"Carter, Ally",,"=""1423166000""","=""9781423166009""",5,4.26,Hyperion Books for Children,Hardcover,328,2013,2013,2013/02/01,2020/05/06,,,read,,,,1,0
10327303,"Uncommon Criminals (Heist Society, #2)",Ally Carter,"Carter, Ally",,"=""1423147952""","=""9781423147954""",5,4.13,Hyperion Book CH,Hardcover,298,2011,2011,2011/06/01,2020/05/06,,,read,,,,1,0
6574102,"Heist Society (Heist Society, #1)",Ally Carter,"Carter, Ally",,"=""1423116399""","=""9781423116394""",5,3.92,Hyperion Book CH,Hardcover,287,2010,2010,2010/02/01,2020/05/06,,,read,,,,1,0
39999,The Boy in the Striped Pajamas,John Boyne,"Boyne, John",,"=""0385751079""","=""9780385751070""",5,4.16,David Fickling Books,Hardcover,224,2006,2006,,2020/05/06,,,read,,,,1,0
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""067001690X""","=""9780670016907""",2,4.02,Viking,Hardcover,496,2014,1939,2010/08/01,2020/04/26,high-school-english,high-school-english (#9),read,,,,1,0
355697,All Quiet on the Western Front,Erich Maria Remarque,"Remarque, Erich Maria",Arthur Wesley Wheen,"=""0449213943""","=""9780449213940""",2,4.10,Ballantine Books,Mass Market Paperback,296,1987,1928,2008/08/01,2020/05/06,high-school-english,high-school-english (#20),read,,,,1,0
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,"=""0767902890""","=""9780767902892""",3,4.14,Broadway,Paperback,246,1998,1990,2010/08/01,2020/05/06,high-school-english,high-school-english (#8),read,,,,1,0
6149,"Beloved (Beloved Trilogy, #1)",Toni Morrison,"Morrison, Toni",,"=""""","=""9781400033416""",3,3.97,Vintage,Paperback,325,2004,1987,2010/08/01,2020/05/06,high-school-english,high-school-english (#11),read,,,,1,0
17250,The Crucible,Arthur Miller,"Miller, Arthur",Christopher W.E. Bigsby,"=""0142437336""","=""9780142437339""",2,3.61,Penguin Books,Paperback,143,2003,1953,2010/08/01,2020/05/06,high-school-english,high-school-english (#7),read,,,,1,0
50892433,One by One,Ruth Ware,"Ware, Ruth",,"=""""","=""""",0,3.72,Scout Press,Hardcover,372,2020,2020,,2020/12/02,to-read,to-read (#149),to-read,,,,0,0
50891959,Recommended for You,Laura  Silverman,"Silverman, Laura",,"=""1534474196""","=""9781534474192""",0,3.47,Margaret K. McElderry Books,Hardcover,272,2020,2020,,2020/11/26,to-read,to-read (#148),to-read,,,,0,0
49127434,"Murder in Old Bombay (Captain Jim and Lady Diana Mysteries, #1)",Nev March,"March, Nev",,"=""1250269547""","=""9781250269546""",0,3.75,Minotaur Books,Hardcover,389,2020,2020,,2020/11/24,to-read,to-read (#147),to-read,,,,0,0
45154546,"How Rory Thorne Destroyed the Multiverse (The Thorne Chronicles, #1)",K. Eason,"Eason, K.",,"=""0756415306""","=""9780756415303""",0,3.83,DAW,Kindle Edition,416,2019,2019,,2020/11/18,to-read,to-read (#146),to-read,,,,0,0
49614207,Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall,"Kendall, Mikki",,"=""0525560548""","=""9780525560548""",0,4.36,Viking,Hardcover,267,2020,2020,,2020/11/11,to-read,to-read (#143),to-read,,,,0,0
51079278,The Next Great Migration: The Beauty and Terror of Life on the Move,Sonia Shah,"Shah, Sonia",,"=""1635571979""","=""9781635571974""",0,3.88,Bloomsbury Publishing,Hardcover,400,2020,2020,,2020/11/11,to-read,to-read (#142),to-read,,,,0,0
51199750,"Some Assembly Required: Decoding Four Billion Years of Life, from Ancient Fossils to DNA",Neil Shubin,"Shubin, Neil",,"=""""","=""""",0,4.15,Pantheon,Hardcover,267,2020,2020,,2020/11/11,to-read,to-read (#141),to-read,,,,0,0
50734400,How to Argue With a Racist: What Our Genes Do (and Don't) Say About Human Difference,Adam Rutherford,"Rutherford, Adam",,"=""1615196714""","=""9781615196715""",0,3.90,The Experiment,Hardcover,224,2020,2020,,2020/11/11,to-read,to-read (#140),to-read,,,,0,0
52668915,"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake,"Sheldrake, Merlin",,"=""0525510311""","=""9780525510314""",0,4.33,Random House,Hardcover,352,2020,2020,,2020/11/11,to-read,to-read (#139),to-read,,,,0,0
50173134,Apocalypse Never: Why Environmental Alarmism Hurts Us All,Michael Shellenberger,"Shellenberger, Michael",,"=""0063001705""","=""9780063001701""",0,4.17,Harper,ebook,272,2020,2020,,2020/11/11,to-read,to-read (#138),to-read,,,,0,0
52905471,Why We Swim,Bonnie Tsui,"Tsui, Bonnie",,"=""1616207868""","=""9781616207861""",0,3.95,Algonquin Books,Hardcover,288,2020,2020,,2020/11/11,to-read,to-read (#136),to-read,,,,0,0
50225678,"Boyfriend Material (London Calling, #1)",Alexis  Hall,"Hall, Alexis",,"=""1728206146""","=""9781728206141""",0,3.99,Sourcebooks Casablanca,Paperback,425,2020,2020,,2020/11/11,to-read,to-read (#135),to-read,,,,0,0
50496918,"Spoiler Alert (Spoiler Alert, #1)",Olivia Dade,"Dade, Olivia",,"=""0063005549""","=""9780063005549""",0,3.61,Avon,Paperback,409,2020,2020,,2020/11/11,to-read,to-read (#134),to-read,,,,0,0
35297394,The Wicked Deep,Shea Ernshaw,"Ernshaw, Shea",,"=""1481497340""","=""9781481497343""",0,3.86,Simon & Schuster Books for Young Readers,Hardcover,310,2018,2018,,2020/11/08,to-read,to-read (#133),to-read,,,,0,0
51079282,Cinderella Is Dead,Kalynn  Bayron,"Bayron, Kalynn",,"=""1547603879""","=""9781547603879""",0,3.67,Bloomsbury YA,Hardcover,389,2020,2020,,2020/10/29,to-read,to-read (#131),to-read,,,,0,0
23168778,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Skip Hollandsworth,"Hollandsworth, Skip",,"=""0805097678""","=""9780805097672""",0,3.63,Henry Holt and Co.,Hardcover,321,2016,2016,,2020/09/20,to-read,to-read (#128),to-read,,,,0,0
43521785,"Bringing Down the Duke (A League of Extraordinary Women, #1)",Evie Dunmore,"Dunmore, Evie",,"=""1984805681""","=""9781984805683""",0,3.93,Berkley,Paperback,335,2019,2019,,2020/09/09,to-read,to-read (#127),to-read,,,,0,0
3431,The Five People You Meet in Heaven,Mitch Albom,"Albom, Mitch",,"=""0786868716""","=""9780786868711""",0,4.01,Hyperion,Hardcover,196,2003,2003,,2020/08/31,shelving-for-now,shelving-for-now (#5),shelving-for-now,,,,0,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",0,4.28,St. Martin's Griffin,Paperback,264,2004,1939,,2020/08/31,shelving-for-now,shelving-for-now (#4),shelving-for-now,,,,0,0
